year,ethiopia_since_1980,ussr_since_1990,other_immigrants,ethiopia_to_other_immigrants_ratio,group
2005,74.47959612,108.6199447,90.71169458,0.82105837,all
2006,82.36650615,109.0998433,87.72037523,0.938966642,all
2007,89.39621327,112.0835234,86.60726358,1.032202261,all
2008,92.30137421,119.9156887,85.89297094,1.07460917,all
2009,97.56748993,123.8832566,88.23909036,1.105717313,all
2010,96.25788694,122.8946158,86.8056302,1.108889904,all
2011,95.06905586,124.9675623,88.54550507,1.073674556,all
2012,83.71243414,126.8593638,89.95776592,0.930574846,all
2013,86.38651781,138.6722693,93.73482398,0.921605377,all
2014,89.81450412,141.2184899,94.67674499,0.948643768,all
2015,95.79793661,149.7563966,94.69069075,1.011693292,all
2016,95.97487386,149.2252088,95.81167374,1.001703343,all
2017,107.8833443,148.0376724,96.7514216,1.115056942,all
2005,64.52937454,96.56810774,74.04309751,0.871511008,men
2006,73.27499543,90.5475136,72.03712484,1.017183787,men
2007,78.10083504,87.92869631,71.4931139,1.092424582,men
2008,85.53776755,88.36408563,72.8343012,1.174415985,men
2009,87.24912805,93.57462153,75.64359712,1.153423837,men
2010,80.84492851,93.94857007,75.91344529,1.064961921,men
2011,74.48941094,98.77521614,78.25343139,0.951899612,men
2012,64.34604532,100.099475,80.65290683,0.797814336,men
2013,72.40633039,107.6612135,84.44667233,0.857420765,men
2014,81.73223358,108.529482,84.71785482,0.964758064,men
2015,88.14056755,112.2029659,84.03287712,1.048881944,men
2016,81.89678493,121.4890026,85.13569978,0.961955856,men
2017,83.60620908,118.9097754,86.08804483,0.971170959,men
2005,85.54682489,122.5390814,107.9037909,0.792806482,women
2006,92.59597367,128.6913739,103.9354289,0.890899038,women
2007,102.0414061,136.8731941,102.2936956,0.997533676,women
2008,99.89400645,151.4920835,99.41937904,1.004773993,women
2009,109.3002327,154.2468101,101.2457812,1.079553453,women
2010,112.8262622,151.8460381,98.04454045,1.150765374,women
2011,116.9810249,151.1855262,99.198306,1.179264341,women
2012,103.9004285,153.5371667,99.60919473,1.043080699,women
2013,100.6939885,169.3788206,103.360402,0.974202756,women
2014,98.02962989,173.2376451,105.016913,0.933465164,women
2015,103.4690926,185.4153118,105.7386734,0.978535944,women
2016,109.936848,175.4052918,106.890097,1.028503585,women
2017,131.685142,173.9822738,107.7793214,1.221803406,women
