year,total,<14,15-17,18-21,22-24,25-44,45-64,65-74,75+,group
1999,368,6.0,11.0,36,18,117,99,30,47,all
2000,394,1.0,8.0,34,27,143,89,34,52,all
2001,398,3.0,13.0,39,23,120,102,33,55,all
2002,382,2.0,14.0,45,26,138,96,30,42,all
2003,417,3.0,9.0,38,27,135,131,43,38,all
2004,411,3.0,2.0,43,22,132,121,30,46,all
2005,444,3.0,9.0,43,27,132,134,32,62,all
2006,367,1.0,10.0,46,25,121,102,29,35,all
2007,326,3.0,9.0,44,26,120,85,27,36,all
2008,402,4.0,9.0,26,20,116,109,32,65,all
2009,406,5.0,8.0,36,32,153,129,27,31,all
2010,482,5.0,3.0,29,29,155,153,47,49,all
2011,411,1.0,7.0,40,26,123,146,36,51,all
2012,435,3.0,8.0,26,20,149,151,42,44,all
2013,372,7.0,4.0,25,17,119,138,27,46,all
2014,382,8.0,3.0,17,15,135,123,28,43,all
2015,342,3.0,2.0,24,19,108,111,33,44,all
2016,390,5.0,6.0,14,13,141,128,47,36,all
2017,402,5.0,5.0,30,13,124,121,48,56,all
2018,449,3.0,7.0,25,22,141,145,57,49,all
1999,297,6.0,7.0,31,24,101,79,18,31,men
2000,307,1.0,10.0,37,18,117,66,19,39,men
2001,323,1.0,11.0,42,23,103,79,26,38,men
2002,291,,7.0,32,21,108,74,21,28,men
2003,345,3.0,2.0,39,21,117,105,30,28,men
2004,320,1.0,7.0,37,24,103,93,25,30,men
2005,321,2.0,8.0,38,22,101,90,21,39,men
2006,279,,8.0,32,21,95,77,24,22,men
2007,263,3.0,7.0,21,17,102,65,19,29,men
2008,327,2.0,6.0,32,30,91,92,23,51,men
2009,312,4.0,2.0,22,24,119,97,21,23,men
2010,395,2.0,6.0,34,23,133,124,33,40,men
2011,324,1.0,6.0,23,13,96,113,28,44,men
2012,354,3.0,4.0,16,13,124,128,31,35,men
2013,291,7.0,2.0,14,14,93,108,19,34,men
2014,294,7.0,2.0,18,15,105,97,18,32,men
2015,269,2.0,3.0,17,15,87,93,22,30,men
2016,321,3.0,1.0,12,12,116,105,39,33,men
2017,305,3.0,2.0,25,9,85,105,38,38,men
2018,354,1.0,5.0,23,19,107,116,43,40,men
1999,71,,1.0,3,3,16,20,12,16,women
2000,87,,3.0,2,5,26,23,15,13,women
2001,75,2.0,3.0,3,3,17,23,7,17,women
2002,91,2.0,2.0,6,6,30,22,9,14,women
2003,72,,,4,1,18,26,13,10,women
2004,91,2.0,2.0,6,3,29,28,5,16,women
2005,123,1.0,2.0,8,3,31,44,11,23,women
2006,88,1.0,1.0,12,5,26,25,5,13,women
2007,63,,2.0,5,3,18,20,8,7,women
2008,75,2.0,2.0,4,2,25,17,9,14,women
2009,94,1.0,1.0,7,5,34,32,6,8,women
2010,87,3.0,1.0,6,3,22,29,14,9,women
2011,87,,2.0,3,7,27,33,8,7,women
2012,81,,,9,4,25,23,11,9,women
2013,81,,1.0,3,1,26,30,8,12,women
2014,88,1.0,,6,4,30,26,10,11,women
2015,73,1.0,,5,3,21,18,11,14,women
2016,69,2.0,5.0,2,1,25,23,8,3,women
2017,97,2.0,3.0,5,4,39,16,10,18,women
2018,95,2.0,2.0,2,3,34,29,14,9,women
