year,Total,Ethiopia,USSR,Others,Percentage_from_all_suicides,Ethiopia.1,USSR.1,Others.1
2000,387,10,89,5,0.264631043,0.025445293,0.226463104,0.012722646
2001,385,11,104,7,0.308860759,0.027848101,0.263291139,0.017721519
2002,391,13,81,5,0.260526316,0.034210526,0.213157895,0.013157895
2003,421,16,88,4,0.260869565,0.038647343,0.212560386,0.009661836
2004,396,27,101,6,0.328431373,0.066176471,0.24754902,0.014705882
2005,439,31,99,5,0.306122449,0.070294785,0.224489796,0.011337868
2006,368,28,75,6,0.297814208,0.076502732,0.204918033,0.016393443
2007,347,16,82,7,0.325077399,0.049535604,0.253869969,0.021671827
2008,377,25,93,2,0.301507538,0.06281407,0.233668342,0.005025126
2009,416,14,100,7,0.301745636,0.034912718,0.249376559,0.017456359
2010,465,27,82,15,0.259958071,0.056603774,0.171907757,0.031446541
2011,429,17,91,14,0.297560976,0.041463415,0.22195122,0.034146341
2012,440,25,108,5,0.319444444,0.05787037,0.25,0.011574074
2013,376,15,100,2,0.320547945,0.04109589,0.273972603,0.005479452
2014,364,19,85,13,0.312834225,0.050802139,0.227272727,0.034759358
2015,341,21,71,10,0.300884956,0.061946903,0.209439528,0.029498525
2016,385,17,81,5,0.267532468,0.044155844,0.21038961,0.012987013
2017,397,12,78,13,0.259445844,0.0302267,0.196473552,0.032745592
2018,446,16,73,8,0.217488789,0.035874439,0.16367713,0.01793722
