year,ילידי אתיופיה שעלו מ-1980,"ילידי בריה""מ לשעבר מ-1990",עולי אתיופיה/יהודים ואחרים ללא עולים," עולי בריה""מ לשעבר/ יחודים ואחרים ללא עולים"
2000,19.552542457711343,13.595115761195594,2.34282322418839,1.6289929051296825
2001,22.926899573503896,13.059251990680623,2.771321005494971,1.5785553228335676
2002,25.219319693142026,12.500498709177576,3.0842967208034304,1.5287980661749718
2003,32.0843919195202,12.268508639111012,3.9382259718752235,1.5059085264859549
2004,41.87302609798675,12.844548359626806,5.1527166828949715,1.5805955476449889
2005,44.32734793446986,12.126146919988715,5.909630807960575,1.616632953682673
2006,37.4072236744057,11.054730556421003,5.436057762843695,1.606485270878166
2007,32.815423335511746,10.740498269424393,5.022065397545478,1.6437235674147723
2008,26.98144335698907,12.190784899218174,4.13804053218131,1.869653945662677
2009,31.90860718580245,12.358088655184906,4.2518624573368315,1.6467310181060004
2010,27.527237680540818,12.146707851046285,3.6349307361736605,1.6039546802148512
2011,32.70752956911924,12.022265146583601,4.295409821886252,1.5788583385005115
2012,26.12829542877886,12.550886056583023,3.9632996029752725,1.9037951350723907
2013,26.601834342218464,12.281967611069955,4.388804407662096,2.0262946115967604
2014,24.11458409131066,10.5030212534488,4.238232519803964,1.8459470859627622
2015,24.475586169667555,10.319725494868567,4.140329084098136,1.7457011779053835
2016,21.22232238953571,9.687994687232212,3.4692520189336777,1.5837142849489245
2017,19.38286456243133,10.26944311431495,2.882471129570347,1.5271929078611242
